Open,Forex,Inflation,Interest
39.4,1.06,208.01,4.76
39.4,1.06,209.11,4.72
39.4,1.08,209.92,4.56
39.31,1.1,210.31,4.69
39.63,1.09,210.32,4.75
39.16,1.07,210.47,5.1
39.64,1.1,210.76,5.0
39.96,1.08,211.11,4.67
40.79,1.06,211.63,4.52
40.7,1.09,212.32,4.53
40.8,1.07,212.44,4.15
41.16,1.04,212.36,4.1
40.87,0.99,213.14,3.74
41.03,0.98,213.87,3.74
41.52,1.01,214.87,3.51
42.15,1.02,215.06,3.68
41.6,1.05,215.18,3.88
41.3,1.07,215.55,4.1
41.5,1.05,216.04,4.01
42.06,1.11,216.48,3.89
42.83,1.12,216.86,3.69
43.27,1.12,217.02,3.81
42.79,1.14,216.69,3.53
42.81,1.13,216.1,2.42
43.05,1.16,216.72,2.52
43.12,1.16,217.69,2.87
42.89,1.18,218.64,2.82
42.54,1.19,219.14,2.93
42.2,1.19,219.13,3.29
42.39,1.22,219.28,3.72
43.12,1.2,219.35,3.56
43.59,1.17,219.6,3.59
43.32,1.21,220.14,3.4
42.79,1.21,220.73,3.39
42.49,1.22,220.38,3.4
42.32,1.19,220.03,3.59
42.67,1.16,220.09,3.73
41.69,1.17,220.6,3.69
41.23,1.19,221.06,3.73
40.7,1.18,221.17,3.85
40.72,1.12,221.19,3.42
40.12,1.11,221.26,3.2
40.17,1.09,221.26,3.01
40.38,1.1,221.55,2.7
40.66,1.1,221.91,2.65
40.78,1.11,222.08,2.54
40.59,1.12,222.08,2.76
41.03,1.1,221.79,3.29
40.57,1.12,222.18,3.39
40.69,1.09,223.01,3.58
40.68,1.1,223.69,3.41
41.15,1.11,224.12,3.46
41.08,1.14,224.53,3.17
41.21,1.12,224.89,3.0
41.62,1.12,225.16,3.0
41.46,1.12,225.87,2.3
42.29,1.14,226.29,1.98
41.66,1.14,226.74,2.15
41.5,1.15,226.86,2.01
41.23,1.13,226.74,1.98
40.82,1.13,227.24,1.97
40.93,1.16,227.87,1.97
41.05,1.16,228.74,2.17
41.21,1.17,229.3,2.05
40.76,1.17,229.6,1.8
40.91,1.17,229.88,1.62
40.91,1.21,229.89,1.53
40.53,1.23,230.2,1.68
40.23,1.22,230.78,1.72
40.74,1.24,231.28,1.75
41.25,1.2,231.26,1.65
41.53,1.19,231.03,1.72
42.22,1.16,231.61,1.91
42.16,1.18,232.43,1.98
43.1,1.19,233.05,1.96
42.51,1.18,233.24,1.76
42.84,1.14,233.46,1.93
42.74,1.12,233.64,2.3
42.71,1.09,233.79,2.58
42.39,1.07,234.26,2.74
42.69,1.06,234.78,2.81
42.15,1.08,235.16,2.62
42.48,1.05,235.24,2.72
42.96,1.06,235.0,2.9
42.98,1.1,235.37,2.86
42.89,1.12,236.07,2.71
43.19,1.12,236.91,2.72
42.92,1.12,237.51,2.71
43.17,1.11,238.03,2.56
42.85,1.11,238.16,2.6
43.03,1.15,238.14,2.54
43.12,1.14,238.3,2.42
43.12,1.09,238.84,2.53
43.12,1.08,239.41,2.3
43.83,1.09,239.25,2.33
43.37,1.06,238.78,2.21
43.42,1.1,239.25,1.88
43.58,1.12,240.08,1.98
43.42,1.12,241.07,2.04
42.84,1.1,241.8,1.94
43.31,1.11,242.12,2.2
43.15,1.1,242.35,2.36
43.81,1.12,242.44,2.32
44.62,1.07,242.65,2.17
44.26,1.12,243.36,2.17
44.4,1.13,243.99,2.07
44.21,1.21,244.07,2.26
44.0,1.24,243.78,2.24
43.41,1.25,244.53,2.09
43.96,1.26,245.68,1.78
44.05,1.31,246.36,1.89
43.98,1.34,246.99,1.81
44.26,1.37,247.54,1.81
45.25,1.36,247.79,1.64
45.62,1.39,247.74,1.5
45.43,1.38,248.28,1.56
45.43,1.38,248.73,1.63
45.12,1.35,249.22,1.76
45.34,1.37,249.23,2.14
44.88,1.36,249.13,2.49
44.91,1.36,250.08,2.43
44.2,1.35,251.14,2.42
44.86,1.32,251.29,2.48
45.05,1.33,251.64,2.3
44.98,1.3,251.84,2.3
45.63,1.3,252.01,2.19
45.56,1.32,251.94,2.32
45.49,1.28,252.46,2.21
45.51,1.31,252.94,2.2
45.24,1.36,253.64,2.36
45.35,1.32,253.49,2.35
45.98,1.3,253.56,2.4
46.73,1.3,254.64,2.58
47.74,1.28,255.78,2.86
48.8,1.26,256.61,2.84
47.83,1.23,257.02,2.87
47.94,1.27,257.47,2.98
48.58,1.24,257.7,2.91
48.19,1.32,257.87,2.89
47.67,1.34,258.01,2.89
47.25,1.33,258.43,3.0
47.05,1.31,259.06,3.15
47.04,1.29,259.11,3.12
45.89,1.35,259.08,2.83
47.2,1.39,260.12,2.71
45.97,1.34,261.11,2.68
46.8,1.44,261.84,2.57
47.18,1.44,262.33,2.53
48.19,1.45,262.59,2.4
47.1,1.44,263.18,2.07
46.61,1.48,263.57,2.06
46.6,1.42,264.17,1.63
44.97,1.38,264.52,1.7
45.99,1.37,265.06,1.71
46.6,1.33,265.11,1.81
45.7,1.3,264.94,1.86
44.42,1.4,266.0,1.76
45.65,1.36,267.27,1.5
46.38,1.27,267.31,0.87
46.94,1.31,266.09,0.66
46.03,1.22,265.8,0.67
46.45,1.23,266.3,0.73
46.17,1.33,267.7,0.62
46.61,1.35,268.76,0.65
46.13,1.36,269.05,0.68
45.46,1.39,269.33,0.79
46.2,1.43,269.47,0.87
46.87,1.5,269.23,0.93
47.04,1.47,269.75,1.08
46.51,1.46,270.7,1.26
46.41,1.43,271.71,1.61
46.57,1.43,273.97,1.64
46.75,1.4,275.89,1.62
47.01,1.42,278.22,1.52
47.04,1.32,279.15,1.32
47.4,1.32,279.51,1.28
47.23,1.27,279.88,1.37
47.64,1.28,281.62,1.58
47.77,1.4,282.75,1.56
49.26,1.27,283.91,1.47
49.41,1.27,286.0,1.76
50.09,1.41,288.06,1.93
49.99,1.47,289.31,2.13
49.52,1.56,290.85,2.75
50.29,1.58,292.51,2.9
50.66,1.56,294.68,3.14
50.54,1.56,295.65,2.9
50.65,1.58,297.18,2.9
51.6,1.52,298.44,3.52
50.6,1.49,299.31,3.98
50.09,1.46,299.6,3.89
50.5,1.46,300.11,3.62
