Sticker,Low,Close,High,Open,Volume,Timestamp
M,8.25,8.62,9.12,9.12,11325800,697300200
M,8.38,8.44,8.62,8.62,5696400,697386600
M,7.81,7.81,8.44,8.44,1698000,697473000
M,7.5,7.56,7.88,7.88,1104400,697732200
M,7.56,7.69,7.69,7.56,656200,697818600
M,7.62,7.94,8.0,7.69,629600,697905000
M,7.94,8.0,8.19,8.0,808200,697991400
M,7.81,7.81,8.0,8.0,418000,698077800
M,7.75,7.81,7.88,7.88,687200,698423400
M,7.81,8.0,8.0,7.81,638000,698509800
M,7.81,7.81,8.0,8.0,139000,698596200
M,7.88,7.94,7.94,7.94,410600,698682600
M,7.88,7.94,8.0,7.94,353800,698941800
M,7.62,7.69,7.94,7.94,590400,699028200
M,7.56,7.62,7.81,7.75,155200,699114600
M,7.62,7.69,7.88,7.62,438000,699201000
M,7.75,7.75,7.88,7.88,266600,699287400
M,7.62,7.81,7.94,7.62,83800,699546600
M,7.75,7.88,7.88,7.75,177400,699633000
M,7.75,7.75,7.88,7.88,247800,699719400
M,7.69,7.69,7.88,7.81,131200,699805800
M,7.69,7.81,7.81,7.69,453400,699892200
M,7.75,7.81,7.81,7.75,114000,700151400
M,7.75,7.75,7.81,7.75,57800,700237800
M,7.69,7.69,7.81,7.75,104200,700324200
M,7.69,7.69,7.75,7.75,70800,700410600
M,7.69,7.69,7.75,7.69,124800,700497000
M,7.62,7.75,7.75,7.75,34600,700756200
M,7.69,7.69,7.75,7.69,206200,700842600
M,7.56,7.69,7.69,7.69,53000,700929000
M,7.5,7.56,7.69,7.69,155600,701015400
M,7.12,7.25,7.5,7.5,218800,701101800
M,6.88,7.0,7.19,7.12,131600,701361000
M,6.75,7.0,7.06,7.0,231200,701447400
M,7.0,7.88,7.94,7.0,662000,701533800
M,7.62,7.62,7.94,7.81,162600,701620200
M,7.31,7.31,7.62,7.62,120600,701706600
M,7.19,7.19,7.38,7.38,96200,701965800
M,7.06,7.12,7.19,7.12,96400,702052200
M,7.06,7.06,7.25,7.06,503600,702138600
M,7.12,7.5,7.56,7.12,1363800,702225000
M,7.31,7.31,7.5,7.44,308600,702311400
M,7.0,7.12,7.44,7.44,440600,702567000
M,6.88,6.94,7.31,7.19,134200,702653400
M,6.44,6.75,6.88,6.81,136600,702739800
M,6.5,6.5,7.0,7.0,181200,702826200
M,6.5,6.75,6.75,6.56,166600,702912600
M,6.62,6.94,7.0,6.81,146800,703171800
M,6.88,7.0,7.06,7.06,161400,703258200
M,6.94,7.12,7.31,7.0,160600,703344600
M,6.88,6.94,7.12,7.06,113200,703431000
M,6.69,6.69,6.94,6.94,79200,703776600
M,6.44,6.5,6.69,6.62,123400,703863000
M,6.31,6.5,6.5,6.5,142600,703949400
M,5.88,6.0,6.5,6.5,322800,704035800
M,5.62,5.81,6.0,5.94,321000,704122200
M,5.75,5.88,6.0,5.75,247200,704381400
M,5.75,5.81,5.88,5.88,581600,704467800
M,5.69,6.25,6.25,5.75,517600,704554200
M,6.38,6.69,6.75,6.38,710800,704640600
M,6.69,6.69,6.94,6.94,199200,704727000
M,6.69,6.81,6.81,6.75,170400,704986200
M,6.62,6.69,6.81,6.81,70000,705072600
M,6.69,6.81,6.94,6.69,285400,705159000
M,6.75,6.81,6.88,6.88,125000,705245400
M,6.44,6.5,6.75,6.75,66000,705331800
M,6.44,6.88,6.88,6.44,251800,705591000
M,6.62,6.62,6.88,6.88,500200,705677400
M,6.44,6.44,6.94,6.69,646200,705763800
M,6.31,6.38,6.44,6.44,223000,705850200
